time,alpha036_20210104,alpha036_20210105,alpha036_20210106,alpha036_20210107,alpha036_20210108,alpha036_20210111,alpha036_20210112,alpha036_20210113,alpha036_20210114,alpha036_20210115,alpha036_20210118,alpha036_20210119,alpha036_20210120,alpha036_20210121,alpha036_20210122,alpha036_20210125,alpha036_20210126,alpha036_20210127,alpha036_20210128,alpha036_20210129,alpha036_20210201,alpha036_20210202,alpha036_20210203,alpha036_20210204,alpha036_20210205,alpha036_20210208,alpha036_20210209,alpha036_20210210,alpha036_20210218,alpha036_20210219,alpha036_20210222,alpha036_20210223,alpha036_20210224,alpha036_20210225,alpha036_20210226,alpha036_20210301,alpha036_20210302,alpha036_20210303,alpha036_20210304,alpha036_20210305,alpha036_20210308,alpha036_20210309,alpha036_20210310,alpha036_20210311,alpha036_20210312,alpha036_20210315,alpha036_20210316,alpha036_20210317,alpha036_20210318,alpha036_20210319,alpha036_20210322,alpha036_20210323,alpha036_20210324,alpha036_20210325,alpha036_20210326,alpha036_20210329,alpha036_20210330,alpha036_20210331,alpha036_20210401,alpha036_20210402,alpha036_20210406,alpha036_20210407,alpha036_20210408,alpha036_20210409,alpha036_20210412,alpha036_20210413,alpha036_20210414,alpha036_20210415,alpha036_20210416,alpha036_20210419,alpha036_20210420,alpha036_20210421,alpha036_20210422,alpha036_20210423,alpha036_20210426,alpha036_20210427,alpha036_20210428,alpha036_20210429,alpha036_20210430,alpha036_20210506,alpha036_20210507,alpha036_20210510,alpha036_20210511,alpha036_20210512,alpha036_20210513,alpha036_20210514,alpha036_20210517,alpha036_20210518,alpha036_20210519,alpha036_20210520,alpha036_20210521,alpha036_20210524,alpha036_20210525,alpha036_20210526,alpha036_20210527,alpha036_20210528,alpha036_20210531,alpha036_20210601,alpha036_20210602,alpha036_20210603,alpha036_20210604,alpha036_20210607,alpha036_20210608,alpha036_20210609,alpha036_20210610,alpha036_20210611,alpha036_20210615,alpha036_20210616,alpha036_20210617,alpha036_20210618,alpha036_20210621,alpha036_20210622,alpha036_20210623,alpha036_20210624,alpha036_20210625,alpha036_20210628,alpha036_20210629,alpha036_20210630
10:01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:05:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:08:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
