time,alpha023_20210104,alpha023_20210105,alpha023_20210106,alpha023_20210107,alpha023_20210108,alpha023_20210111,alpha023_20210112,alpha023_20210113,alpha023_20210114,alpha023_20210115,alpha023_20210118,alpha023_20210119,alpha023_20210120,alpha023_20210121,alpha023_20210122,alpha023_20210125,alpha023_20210126,alpha023_20210127,alpha023_20210128,alpha023_20210129,alpha023_20210201,alpha023_20210202,alpha023_20210203,alpha023_20210204,alpha023_20210205,alpha023_20210208,alpha023_20210209,alpha023_20210210,alpha023_20210218,alpha023_20210219,alpha023_20210222,alpha023_20210223,alpha023_20210224,alpha023_20210225,alpha023_20210226,alpha023_20210301,alpha023_20210302,alpha023_20210303,alpha023_20210304,alpha023_20210305,alpha023_20210308,alpha023_20210309,alpha023_20210310,alpha023_20210311,alpha023_20210312,alpha023_20210315,alpha023_20210316,alpha023_20210317,alpha023_20210318,alpha023_20210319,alpha023_20210322,alpha023_20210323,alpha023_20210324,alpha023_20210325,alpha023_20210326,alpha023_20210329,alpha023_20210330,alpha023_20210331,alpha023_20210401,alpha023_20210402,alpha023_20210406,alpha023_20210407,alpha023_20210408,alpha023_20210409,alpha023_20210412,alpha023_20210413,alpha023_20210414,alpha023_20210415,alpha023_20210416,alpha023_20210419,alpha023_20210420,alpha023_20210421,alpha023_20210422,alpha023_20210423,alpha023_20210426,alpha023_20210427,alpha023_20210428,alpha023_20210429,alpha023_20210430,alpha023_20210506,alpha023_20210507,alpha023_20210510,alpha023_20210511,alpha023_20210512,alpha023_20210513,alpha023_20210514,alpha023_20210517,alpha023_20210518,alpha023_20210519,alpha023_20210520,alpha023_20210521,alpha023_20210524,alpha023_20210525,alpha023_20210526,alpha023_20210527,alpha023_20210528,alpha023_20210531,alpha023_20210601,alpha023_20210602,alpha023_20210603,alpha023_20210604,alpha023_20210607,alpha023_20210608,alpha023_20210609,alpha023_20210610,alpha023_20210611,alpha023_20210615,alpha023_20210616,alpha023_20210617,alpha023_20210618,alpha023_20210621,alpha023_20210622,alpha023_20210623,alpha023_20210624,alpha023_20210625,alpha023_20210628,alpha023_20210629,alpha023_20210630
10:01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:05:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:08:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
