time,alpha047_20210104,alpha047_20210105,alpha047_20210106,alpha047_20210107,alpha047_20210108,alpha047_20210111,alpha047_20210112,alpha047_20210113,alpha047_20210114,alpha047_20210115,alpha047_20210118,alpha047_20210119,alpha047_20210120,alpha047_20210121,alpha047_20210122,alpha047_20210125,alpha047_20210126,alpha047_20210127,alpha047_20210128,alpha047_20210129,alpha047_20210201,alpha047_20210202,alpha047_20210203,alpha047_20210204,alpha047_20210205,alpha047_20210208,alpha047_20210209,alpha047_20210210,alpha047_20210218,alpha047_20210219,alpha047_20210222,alpha047_20210223,alpha047_20210224,alpha047_20210225,alpha047_20210226,alpha047_20210301,alpha047_20210302,alpha047_20210303,alpha047_20210304,alpha047_20210305,alpha047_20210308,alpha047_20210309,alpha047_20210310,alpha047_20210311,alpha047_20210312,alpha047_20210315,alpha047_20210316,alpha047_20210317,alpha047_20210318,alpha047_20210319,alpha047_20210322,alpha047_20210323,alpha047_20210324,alpha047_20210325,alpha047_20210326,alpha047_20210329,alpha047_20210330,alpha047_20210331,alpha047_20210401,alpha047_20210402,alpha047_20210406,alpha047_20210407,alpha047_20210408,alpha047_20210409,alpha047_20210412,alpha047_20210413,alpha047_20210414,alpha047_20210415,alpha047_20210416,alpha047_20210419,alpha047_20210420,alpha047_20210421,alpha047_20210422,alpha047_20210423,alpha047_20210426,alpha047_20210427,alpha047_20210428,alpha047_20210429,alpha047_20210430,alpha047_20210506,alpha047_20210507,alpha047_20210510,alpha047_20210511,alpha047_20210512,alpha047_20210513,alpha047_20210514,alpha047_20210517,alpha047_20210518,alpha047_20210519,alpha047_20210520,alpha047_20210521,alpha047_20210524,alpha047_20210525,alpha047_20210526,alpha047_20210527,alpha047_20210528,alpha047_20210531,alpha047_20210601,alpha047_20210602,alpha047_20210603,alpha047_20210604,alpha047_20210607,alpha047_20210608,alpha047_20210609,alpha047_20210610,alpha047_20210611,alpha047_20210615,alpha047_20210616,alpha047_20210617,alpha047_20210618,alpha047_20210621,alpha047_20210622,alpha047_20210623,alpha047_20210624,alpha047_20210625,alpha047_20210628,alpha047_20210629,alpha047_20210630
10:01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:05:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:08:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
