time,alpha030_20210104,alpha030_20210105,alpha030_20210106,alpha030_20210107,alpha030_20210108,alpha030_20210111,alpha030_20210112,alpha030_20210113,alpha030_20210114,alpha030_20210115,alpha030_20210118,alpha030_20210119,alpha030_20210120,alpha030_20210121,alpha030_20210122,alpha030_20210125,alpha030_20210126,alpha030_20210127,alpha030_20210128,alpha030_20210129,alpha030_20210201,alpha030_20210202,alpha030_20210203,alpha030_20210204,alpha030_20210205,alpha030_20210208,alpha030_20210209,alpha030_20210210,alpha030_20210218,alpha030_20210219,alpha030_20210222,alpha030_20210223,alpha030_20210224,alpha030_20210225,alpha030_20210226,alpha030_20210301,alpha030_20210302,alpha030_20210303,alpha030_20210304,alpha030_20210305,alpha030_20210308,alpha030_20210309,alpha030_20210310,alpha030_20210311,alpha030_20210312,alpha030_20210315,alpha030_20210316,alpha030_20210317,alpha030_20210318,alpha030_20210319,alpha030_20210322,alpha030_20210323,alpha030_20210324,alpha030_20210325,alpha030_20210326,alpha030_20210329,alpha030_20210330,alpha030_20210331,alpha030_20210401,alpha030_20210402,alpha030_20210406,alpha030_20210407,alpha030_20210408,alpha030_20210409,alpha030_20210412,alpha030_20210413,alpha030_20210414,alpha030_20210415,alpha030_20210416,alpha030_20210419,alpha030_20210420,alpha030_20210421,alpha030_20210422,alpha030_20210423,alpha030_20210426,alpha030_20210427,alpha030_20210428,alpha030_20210429,alpha030_20210430,alpha030_20210506,alpha030_20210507,alpha030_20210510,alpha030_20210511,alpha030_20210512,alpha030_20210513,alpha030_20210514,alpha030_20210517,alpha030_20210518,alpha030_20210519,alpha030_20210520,alpha030_20210521,alpha030_20210524,alpha030_20210525,alpha030_20210526,alpha030_20210527,alpha030_20210528,alpha030_20210531,alpha030_20210601,alpha030_20210602,alpha030_20210603,alpha030_20210604,alpha030_20210607,alpha030_20210608,alpha030_20210609,alpha030_20210610,alpha030_20210611,alpha030_20210615,alpha030_20210616,alpha030_20210617,alpha030_20210618,alpha030_20210621,alpha030_20210622,alpha030_20210623,alpha030_20210624,alpha030_20210625,alpha030_20210628,alpha030_20210629,alpha030_20210630
10:01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:05:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:08:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
