time,alpha045_20210104,alpha045_20210105,alpha045_20210106,alpha045_20210107,alpha045_20210108,alpha045_20210111,alpha045_20210112,alpha045_20210113,alpha045_20210114,alpha045_20210115,alpha045_20210118,alpha045_20210119,alpha045_20210120,alpha045_20210121,alpha045_20210122,alpha045_20210125,alpha045_20210126,alpha045_20210127,alpha045_20210128,alpha045_20210129,alpha045_20210201,alpha045_20210202,alpha045_20210203,alpha045_20210204,alpha045_20210205,alpha045_20210208,alpha045_20210209,alpha045_20210210,alpha045_20210218,alpha045_20210219,alpha045_20210222,alpha045_20210223,alpha045_20210224,alpha045_20210225,alpha045_20210226,alpha045_20210301,alpha045_20210302,alpha045_20210303,alpha045_20210304,alpha045_20210305,alpha045_20210308,alpha045_20210309,alpha045_20210310,alpha045_20210311,alpha045_20210312,alpha045_20210315,alpha045_20210316,alpha045_20210317,alpha045_20210318,alpha045_20210319,alpha045_20210322,alpha045_20210323,alpha045_20210324,alpha045_20210325,alpha045_20210326,alpha045_20210329,alpha045_20210330,alpha045_20210331,alpha045_20210401,alpha045_20210402,alpha045_20210406,alpha045_20210407,alpha045_20210408,alpha045_20210409,alpha045_20210412,alpha045_20210413,alpha045_20210414,alpha045_20210415,alpha045_20210416,alpha045_20210419,alpha045_20210420,alpha045_20210421,alpha045_20210422,alpha045_20210423,alpha045_20210426,alpha045_20210427,alpha045_20210428,alpha045_20210429,alpha045_20210430,alpha045_20210506,alpha045_20210507,alpha045_20210510,alpha045_20210511,alpha045_20210512,alpha045_20210513,alpha045_20210514,alpha045_20210517,alpha045_20210518,alpha045_20210519,alpha045_20210520,alpha045_20210521,alpha045_20210524,alpha045_20210525,alpha045_20210526,alpha045_20210527,alpha045_20210528,alpha045_20210531,alpha045_20210601,alpha045_20210602,alpha045_20210603,alpha045_20210604,alpha045_20210607,alpha045_20210608,alpha045_20210609,alpha045_20210610,alpha045_20210611,alpha045_20210615,alpha045_20210616,alpha045_20210617,alpha045_20210618,alpha045_20210621,alpha045_20210622,alpha045_20210623,alpha045_20210624,alpha045_20210625,alpha045_20210628,alpha045_20210629,alpha045_20210630
10:01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:05:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:08:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
